year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Water Polo,Chile,CHL,152,8,0,0,0,0
1948,Water Polo,Egypt,EGY,818,8,0,0,0,0
1948,Water Polo,Spain,ESP,724,8,0,0,0,0
1948,Water Polo,France,FRA,250,11,0,0,0,0
1948,Water Polo,United Kingdom,GBR,826,8,0,0,0,0
1948,Water Polo,Greece,GRC,300,8,0,0,0,0
1948,Water Polo,Hungary,HUN,348,11,0,11,0,11
1948,Water Polo,India,IND,356,9,0,0,0,0
1948,Water Polo,Italy,ITA,380,9,0,0,9,9
1948,Water Polo,Netherlands,NLD,528,9,9,0,0,9
1948,Water Polo,Sweden,SWE,752,10,0,0,0,0
1948,Water Polo,Uruguay,URY,858,8,0,0,0,0
1948,Water Polo,United States,USA,840,8,0,0,0,0
1948,Weightlifting,Argentina,ARG,032,8,0,0,0,0
1948,Weightlifting,Australia,AUS,036,2,0,0,0,0
1948,Weightlifting,Austria,AUT,040,6,0,0,0,0
1948,Weightlifting,Belgium,BEL,056,3,0,0,0,0
1948,Weightlifting,Canada,CAN,124,5,0,0,0,0
1948,Weightlifting,Switzerland,CHE,756,3,0,0,0,0
1948,Weightlifting,Cuba,CUB,192,3,0,0,0,0
1948,Weightlifting,Denmark,DNK,208,4,0,0,0,0
1948,Weightlifting,Egypt,EGY,818,8,0,1,2,3
1948,Weightlifting,Finland,FIN,246,4,0,0,0,0
1948,Weightlifting,France,FRA,250,9,0,0,0,0
1948,Weightlifting,United Kingdom,GBR,826,10,1,1,0,2
1948,Weightlifting,Guyana,GUY,328,2,0,0,0,0
1948,Weightlifting,Hungary,HUN,348,3,0,0,0,0
1948,Weightlifting,India,IND,356,2,0,0,0,0
1948,Weightlifting,Iran,IRN,364,5,1,0,0,1
1948,Weightlifting,Italy,ITA,380,1,0,0,0,0
1948,Weightlifting,Jamaica,JAM,388,2,0,0,0,0
1948,Weightlifting,South Korea,KOR,410,8,1,0,0,1
1948,Weightlifting,Mexico,MEX,484,3,0,0,0,0
1948,Weightlifting,Myanmar,MMR,104,1,0,0,0,0
1948,Weightlifting,Netherlands,NLD,528,2,1,0,0,1
1948,Weightlifting,New Zealand,NZL,554,1,0,0,0,0
1948,Weightlifting,Pakistan,PAK,586,2,0,0,0,0
1948,Weightlifting,Peru,PER,604,3,0,0,0,0
1948,Weightlifting,Philippines,PHL,608,1,0,0,0,0
1948,Weightlifting,Sweden,SWE,752,4,1,0,0,1
1948,Weightlifting,Trinidad and Tobago,TTO,780,1,0,1,0,1
1948,Weightlifting,United States,USA,840,12,1,3,4,8
1948,Weightlifting,South Africa,ZAF,710,2,0,0,0,0
